Old Title,Abstract ,,,,,,,,,,,,Title
British Journal of Occupational Therapy,Assessment; Cognition; Occupational therapy; Perception; Tests; Validity,,,,,,,,,,,,dmedicine
Early Human Development,Attention; Behaviour; Cognition; Intelligence; Late-onset sepsis; Memory; Motor function; Visual perception; Visuomotor integration,,,,,,,,,,,,dmedicine
Cognition and Emotion,Affect; Emotion; Recognition; Regulation; Scene,,,,,,,,,,,,dmedicine
Consciousness and Cognition,Cognition; Cognitive insight; Memory; Memory awareness; Metacognition; Metamemory; Schizophrenia; Strategy,,,,,,,,,,,,dmedicine
Dementia and Geriatric Cognitive Disorders,Alzheimer's disease dementia; Carer report; Dementia with Lewy bodies; Parkinsonism; Predementia,,,,,,,,,,,,dengineering
International Journal of Toxicology,Acute central nervous system effects; Cycloparaffins; Hydrocarbon solvents; Isoparaffins; Neurotoxicity,,,,,,,,,,,,dengineering
Current Alzheimer Research,Ampakines; Cognitive dysfunction; Nootropic drugs; Rats; Vestibular lesions,,,,,,,,,,,,dengineering
Journal of Autism and Developmental Disorders,Autism; Cognition; Face perception; Prototype,,,,,,,,,,,,dsocial science
World Journal of Biological Psychiatry,Analogical reasoning; Cognitive strategy; Executive functions; Eye movement recordings; Working memory,,,,,,,,,,,,dsocial science
Journal of Cognitive Psychology,Categorical and coordinate spatial relations; Spatial cognition; Verbal and spatial interference,,,,,,,,,,,,d-lifescience
American Journal of Clinical Nutrition,,,,,,,,,,,,,dmedicine
European Journal of Neuroscience,Face perception; Face recognition; Recognition memory; Social cognition; Temporal cortex,,,,,,,,,,,,dmedicine
Psychologia,Autism; Cognition; Facial expression,,,,,,,,,,,,dmedicine
Journal of Experimental Psychology: Human Perception and Performance,Cognitive control; Conflict adaptation; Response competition; Task representation,,,,,,,,,,,,dmedicine
Activitas Nervosa Superior Rediviva,BEM-based SMS-LORETA; EEG-based local brain activity (EEG-LBA-) feedback; EEG/EP; Neurofeedback,,,,,,,,,,,,dengineering
Psychological Science,cognitive development; infant development; visual memory,,,,,,,,,,,,dengineering
Journal of Neuropsychiatry and Clinical Neurosciences,,,,,,,,,,,,,dengineering
Cancer,germ cell tumors; neurocognitive late effects; pediatric,,,,,,,,,,,,dsocial science
Advances in Alzheimer's Disease,aging; Alzheimer's disease; atrophy; cognition; lesion; visual scale,,,,,,,,,,,,dsocial science
Consciousness and Cognition,Artificial grammar learning; Cognitive feelings; Consciousness; Flexibility; Fringe consciousness; Implicit learning; Intentional control; Intuition; Strategic control; Unconscious,,,,,,,,,,,,d-lifescience
Pediatric Research,,,,,,,,,,,,,dmedicine
Frontiers in Integrative Neuroscience,,,,,,,,,,,,,dmedicine
Current Topics in Behavioral Neurosciences,Attention; Body image; Central coherence; Cognitive bias; Craving; Decision-making; Food reward; Interpretation; Memory; Retraining; Set shifting,,,,,,,,,,,,dmedicine
Memory and Cognition,Eyeclosure; Grain size; Investigative interviewing; Memory retrieval; Modality-specific interference; Working memory,,,,,,,,,,,,dmedicine
Quarterly Journal of Experimental Psychology,Cognitive control; Dual tasking; Psychological refractory period,,,,,,,,,,,,dengineering
Neuropharmacology,Cholinergic; Five-choice serial reaction time task; Memory; Paired-associates learning; Touchscreen; Visual discrimination,,,,,,,,,,,,dengineering
Frontiers in Integrative Neuroscience,1/f noise; Accuracy feedback; Embodied cognition; Multifractal; Time estimation,,,,,,,,,,,,dengineering
Frontiers in Integrative Neuroscience,,,,,,,,,,,,,dsocial science
Journal of visualized experiments : JoVE,,,,,,,,,,,,,dsocial science
Epileptic Disorders,Cognitive; Epilepsy; Montreal Cognitive Assessment,,,,,,,,,,,,d-lifescience
Language and Cognitive Processes,Dutch; Reference resolution; Visual-world eye tracking,,,,,,,,,,,,dmedicine
Neurobiology of Aging,Aging; Apolipoprotein E4; Cognition; Cohort studies; Depressive symptoms; Longitudinal survey; Nutritional status; Omega-3 fatty Acids,,,,,,,,,,,,dmedicine
Brain Impairment,Aged; Cognition; Cognitive training; Human; Mild cognitive impairment; Randomised controlled trial,,,,,,,,,,,,dmedicine
Neuro-degenerative diseases,,,,,,,,,,,,,dmedicine
Drug and Alcohol Dependence,Alcohol; Cues; Gambling; Homeostasis; Stress,,,,,,,,,,,,dengineering
Behavioural Brain Research,Cognitive map; Exploration; Geometric module; Navigation; Spatial behavior; Wayfinding,,,,,,,,,,,,dengineering
Journal of Biomedical Discovery and Collaboration,Cognition; Human-computer interaction; Molecular interaction networks; Systems biology; Translational medicine; Usability; Visualization,,,,,,,,,,,,dengineering
Journal of Insect Science,Learning; Social wasps; Visual patterns,,,,,,,,,,,,dsocial science
Frontiers in Integrative Neuroscience,Attention; Audiovisual temporal distortions; Crossmodal timing; FMRI; Sensory integration; Striatum; Temporal processing,,,,,,,,,,,,dsocial science
Brain and Language,Audiovisual processing; Developmental dyslexia; Language; Word and pseudoword decoding,,,,,,,,,,,,d-lifescience
Neuropsychologia,Alzheimer's disease; Cognition; Cortical atrophy; Mild cognitive impairment; Neuropsychological tests,,,,,,,,,,,,dmedicine
Clinical Neuropsychiatry,Antidepressants; Cognition; Major depressive disorder; Neuropsychology,,,,,,,,,,,,dmedicine
Cerebral Cortex,empathy; fMRI; individual differences; mentalizing; theory of mind,,,,,,,,,,,,dmedicine
Cerebellum,Advance information; Cerebellum; Friedreich ataxia; Motor planning,,,,,,,,,,,,dmedicine
Journal of vision,,,,,,,,,,,,,dengineering
Avian Biology Research,Avian visual model; Egg recognition; Japanese quail; Maculation; Phenotypic variation,,,,,,,,,,,,dengineering
Brain and Language,Action comprehension; Gesture; Gesture N450; N300; N400; Object recognition; Semantic processing,,,,,,,,,,,,dengineering
Cognition and Emotion,(Tele-)presence; Arousal; Attribution; Emotion; Enjoyment; False feedback; Media,,,,,,,,,,,,dsocial science
Neuropsychologia,Baboon; Corsi test; Primate; Serial recall; Spatial cognition; Working memory,,,,,,,,,,,,dsocial science
Revue de Medecine Interne,Alzheimer's disease; Emotion perception; Facial expressions; Neurodegenerative disorders; Social cognition,,,,,,,,,,,,d-lifescience
Experimental Brain Research,Antisaccade; Attention; Fixation; Mask pursuit; Saccade; Working memory,,,,,,,,,,,,dmedicine
Computational Intelligence and Neuroscience,,,,,,,,,,,,,dmedicine
Frontiers in Psychology,Bilinguals; Emotion; ERPs; Second language processing; Visual word recognition,,,,,,,,,,,,dmedicine
Journal of Alternative and Complementary Medicine,,,,,,,,,,,,,dmedicine
Consciousness and Cognition,Awareness; Categorical perception; Categorization; Face processing; Morphing; Priming; Subliminal; Unconscious perception,,,,,,,,,,,,dengineering
Emotion,Emotion and cognition; Interference; Negative mood; Semantic processing; Valence,,,,,,,,,,,,dengineering
Quarterly Journal of Experimental Psychology,Construct validity; Multinomial model; Prospective memory,,,,,,,,,,,,dengineering
Cognition and Emotion,Encoding; Gun focus; Memory for detail; Positive emotion; Recognition,,,,,,,,,,,,dsocial science
Consciousness and Cognition,Order; Perception; Recalibration; Simultaneity; Time,,,,,,,,,,,,dsocial science
Journal of Tourism and Cultural Change,Multimodally expressed humour; Postcards; Scottishness; Tourism,,,,,,,,,,,,d-lifescience
Journal of Cognitive Psychology,Change of pose; Exposure time; Face recognition; Own-ethnicity effect; Own-race bias; Response latency,,,,,,,,,,,,dmedicine
Emotion,Attention; Implicit memory; Inhibition; Positive affect; Transfer,,,,,,,,,,,,dmedicine
"Journal of Neurology, Neurosurgery and Psychiatry",,,,,,,,,,,,,dmedicine
Consciousness and Cognition,Dissociation.; Lexical decision; Objective Threshold/Strategic Model; Repetition priming; Semantic priming; Subliminal perception; Unconscious perception,,,,,,,,,,,,dmedicine
Neurocritical Care,Anesthesia; Animal model; BCAO; Brain; Brain injury; Cognitive outcome; Global cerebral ischemia; Neurological function; Neuronal survival; Sevoflurane,,,,,,,,,,,,dengineering
Pedagogika,Critical thinking; Interpretation; Work of art,,,,,,,,,,,,dengineering
Frontiers in Neurology,Balance disorder; Bilateral vestibular hypofunction; Oscillopsia; Postural control; Vestibular-autonomic response; Vestibulo-ocular reflex,,,,,,,,,,,,dengineering
Research and Perspectives in Neurosciences,,,,,,,,,,,,,dsocial science
Current Clinical Neurology,Cognition; Fatigue; Initial demyelinating event; Optic neuritis; Prognosis,,,,,,,,,,,,dsocial science
Consciousness and Cognition,Attention; Dissociative tendencies; Emotional processing; Sustained attention; Vigilance,,,,,,,,,,,,d-lifescience
Conference proceedings : ... Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Conference,,,,,,,,,,,,,dmedicine
Conference proceedings : ... Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Conference,,,,,,,,,,,,,dmedicine
Bulletin et mémoires de l'Académie royale de médecine de Belgique,,,,,,,,,,,,,dmedicine
American Journal of Public Health,,,,,,,,,,,,,dmedicine
Brain Imaging and Behavior,Emotion recognition; fMRI; Multiple sclerosis; Neural plasticity; Precuneus,,,,,,,,,,,,dengineering
Psychological Science,cognitive processes; number comprehension; response bias; time perception,,,,,,,,,,,,dengineering
Acta Neurobiologiae Experimentalis,Abstract words; Aphasia; Concrete words; Mental lexicon; Neurocognition; Semantic features; Semantic frames,,,,,,,,,,,,dengineering
Cerebral Cortex,learning; monkey; neurophysiology; principal sulcus,,,,,,,,,,,,dsocial science
Boletim de Ciencias Geodesicas,Interactivity; Multimedia cartography; School atlas,,,,,,,,,,,,dsocial science
Journal of Clinical and Experimental Neuropsychology,Brain atrophy; Demyelination; Executive function; n-back task; Neural noise; Processing efficiency,,,,,,,,,,,,d-lifescience
Journal of Cognitive Neuroscience,,,,,,,,,,,,,dmedicine
Applied Psychophysiology Biofeedback,Gilles de la Tourette; Neurofeedback; QEEG; SMR; Theta,,,,,,,,,,,,dmedicine
Journal of Forensic Psychiatry and Psychology,near-lethal self-harm; prevention; prison; qualitative methods; suicide; women,,,,,,,,,,,,dmedicine
Science in Context,,,,,,,,,,,,,dmedicine
Frontiers in Psychology,Action selection; Active inference; Attention; Free energy; Motor preparation; Precision; Priming,,,,,,,,,,,,dengineering
Biological Psychology,Anxiety; Attention bias; ERP; Face-processing; Threat-processing,,,,,,,,,,,,dengineering
A/Z ITU Journal of the Faculty of Architecture,Environmental preference; Gated communities; I{dotless}sland living; Place attachment; Social adaptation,,,,,,,,,,,,dengineering
Journal of Assistive Technologies,Accessibility; Deaf literacy; Deaf people; E-learning; Educational games; Embodiment; Learning; Teenagers,,,,,,,,,,,,dsocial science
Conference proceedings : ... Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Conference,,,,,,,,,,,,,dsocial science
Meditsina truda i promyshlennaia ekologiia,,,,,,,,,,,,,d-lifescience
Contraception,Hemispheric asymmetry; Hormonal influence; Oral contraceptives; Spatial attention,,,,,,,,,,,,dmedicine
Conference proceedings : ... Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Conference,,,,,,,,,,,,,dmedicine
Journal of Biomedical Optics,Dorsolateral prefrontal cortex; Frontopolar cortex; Near-infrared spectroscopy; Oxy-Hb; Reaching; Ventrolateral prefrontal cortex; Visuomotor transformations,,,,,,,,,,,,dmedicine
Memory and Cognition,Familiarity in recognition memory; Heuristics; Metamemory; Recollection,,,,,,,,,,,,dmedicine
Archives of Psychiatry and Psychotherapy,Klüver-Bucy syndrome; Neuropsychiatric disease; Neuropsychological symptoms,,,,,,,,,,,,dengineering
Journal of Clinical and Experimental Neuropsychology,Alzheimer's disease; Cognition; Dementia; Healthy aging; Information processing speed; Magnetic resonance imaging; Myelin; White matter,,,,,,,,,,,,dengineering
Frontiers in Psychology,Action recognition; Action representation; Biological motion; Event segmentation; Mirror neurons; Motor cognition; Motor primitives; Point-light displays,,,,,,,,,,,,dengineering
NeuroQuantology,Allosterics; Genetic code; Klein bottle logic; Logophysics; Time waves,,,,,,,,,,,,dsocial science
International Journal of Stroke,Cognitive impairment; Magnetic resonance imaging; Microbleeds; Stroke,,,,,,,,,,,,dsocial science
Psychogeriatrics,Alzheimer's disease; Dementia; Dementia with Lewy bodies; Hand gesture imitation; Perspective taking; Visuomotor deficit,,,,,,,,,,,,d-lifescience
Frontiers in Psychology,ERPs; Grounded cognition; Modality switch; Property verification,,,,,,,,,,,,dmedicine
Frontiers in Psychology,Distance effects; Numerical cognition; Ordinal rule; Ratio effects,,,,,,,,,,,,dmedicine
Frontiers in Psychology,Action-related language; Embodied cognition; Language comprehension; Negative valence; Orientational metaphors; Positive valence,,,,,,,,,,,,dmedicine
Psychonomic Bulletin and Review,Letter migration errors; Letter position representation; Orthographic input coding; Reading; Visual word identification,,,,,,,,,,,,dmedicine
Conference proceedings : ... Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Conference,,,,,,,,,,,,,dengineering
Frontiers in Psychology,Abstract concept; Context; Grounded cognition; Numbers; Quantity,,,,,,,,,,,,dengineering
Journal of Behavior Therapy and Experimental Psychiatry,Cognitive bias; Obsessive-compulsive disorder; Overestimation of threat; Perceptual bias,,,,,,,,,,,,dengineering
Journal of Fluency Disorders,Accuracy; Attitude; Listener reaction; Stereotype; Stuttering,,,,,,,,,,,,dsocial science
Cognition,Attractive alternatives; Face memory; Relationship cognition; Reverse-correlation; Romantic relationships,,,,,,,,,,,,dsocial science
"Zhurnal nevrologii i psikhiatrii imeni S.S. Korsakova / Ministerstvo zdravookhraneniia i meditsinsko? promyshlennosti Rossi?sko? Federatsii, Vserossi?skoe obshchestvo nevrologov [i] Vserossi?skoe obshchestvo psikhiatrov",,,,,,,,,,,,,d-lifescience
Journal of Child and Adolescent Psychopharmacology,,,,,,,,,,,,,dmedicine
Human Movement,"""red win effect""; agility; cognition; color; gender differences; sport",,,,,,,,,,,,dmedicine
American Journal of Geriatric Psychiatry,Accidents; antidepressants; elderly; motor vehicle collisions; traffic,,,,,,,,,,,,dmedicine
NeuroRehabilitation,Multiple sclerosis,,,,,,,,,,,,dmedicine
 C.H., Sørensen,,,,,,,,,,,,dengineering
BMC Neurology,,,,,,,,,,,,,dengineering
Journal of Neuroscience,,,,,,,,,,,,,dengineering
Interaction Studies,Chimpanzees; Social cognition; Understanding attention,,,,,,,,,,,,dsocial science
"Nonlinear Dynamics, Psychology, and Life Sciences",Chaos; Cognition; Multistability systems; Networks; Neuroscience; Switching; Time series,,,,,,,,,,,,dsocial science
British Journal of Nutrition,Furosemide; Memory; Reaction time; Reasoning; Vigilance,,,,,,,,,,,,d-lifescience
Journal of Vision,Attention; Evoked potentials; Temporal vision; Visual cognition,,,,,,,,,,,,dmedicine
Journal of Vision,Attention; Eye movements; Search; Visual cognition,,,,,,,,,,,,dmedicine
Journal of Vision,Detection/discrimination; Object recognition; Visual cognition,,,,,,,,,,,,dmedicine
Journal of Vision,Adaptation; Aftereffects; Face recognition; Visual cognition,,,,,,,,,,,,dmedicine
Neuroscience,Attention; Decision making; Eye movements; Monetary punishment; Reward,,,,,,,,,,,,dengineering
Journal of Neuroscience,,,,,,,,,,,,,dengineering
Journal of Neuroscience,,,,,,,,,,,,,dengineering
Behavioural Brain Research,"Semaphorin 5A, Autism, Mouse, Cognition, Anxiety",,,,,,,,,,,,dsocial science
NeuroReport,functional MRI; intention; medial frontal cortex; motion,,,,,,,,,,,,dsocial science
PLoS ONE,,,,,,,,,,,,,d-lifescience
IEEE Transactions on Visualization and Computer Graphics,active processing; cognitive efficiency; Desirable difficulites; engagement; individual differences,,,,,,,,,,,,dmedicine
Journal of the Neurological Sciences,Alpha-synuclein; Dementia; Familial; Hallucinations; Mild cognitive impairment; Neuropsychology; PARK1; Parkinson's disease,,,,,,,,,,,,dmedicine
Journal of the Neurological Sciences,Cognition; Deep brain stimulation; Nucleus subthalamicus; Parkinson's disease; Quality of life,,,,,,,,,,,,dmedicine
Journal of the Neurological Sciences,Parkinson's disease; Theory of Mind,,,,,,,,,,,,dmedicine
Brain Research,Event-related potential (ERP); Response-mapping; Same-different judgment; Stimulus-dimension; Switch positivity; Task preparation; Task-shift type,,,,,,,,,,,,dengineering
Neuroscience,Human; Spatial orientation; Vestibular system; Visual system,,,,,,,,,,,,dengineering
PLoS ONE,,,,,,,,,,,,,dengineering
International Journal of Cognitive Therapy,,,,,,,,,,,,,dsocial science
PLoS ONE,,,,,,,,,,,,,dsocial science
Malaria Journal,academic achievement; behaviour; cognition; malaria; neuropsychology,,,,,,,,,,,,d-lifescience
Kurume Medical Journal,Affective photograph; Exploratory eye movements; Healthy control; Laterality; Schizophrenia; Visual recognition,,,,,,,,,,,,dmedicine
PLoS ONE,,,,,,,,,,,,,dmedicine
Journal of Neuroscience,,,,,,,,,,,,,dmedicine
Journal of Alzheimer's Disease,aging; Alzheimers disease; atrophy; cognition; lesion; visual scale,,,,,,,,,,,,dmedicine
PLoS ONE,,,,,,,,,,,,,dengineering
British Journal of Psychology,,,,,,,,,,,,,dengineering
Memory and Cognition,Feature overlap; Metacognition; Search asymmetry; Set size; Visual search,,,,,,,,,,,,dengineering
Optometry,Aperture size; Asthenopia; Cognitive stress; Electromyography; Orbicularis oculi,,,,,,,,,,,,dsocial science
Movement Disorders,Complex visual hallucinations; Contrast sensitivity; Parkinson's disease; Parkinson's disease dementia; Visual acuity,,,,,,,,,,,,dsocial science
Brain,autonomic dysfunction; cognitive deficits; ophthalmology; Parkinson's disease; pathology; sleep disorders; visual hallucinations,,,,,,,,,,,,d-lifescience
Journal of Family Practice,,,,,,,,,,,,,dmedicine
Developmental Science,,,,,,,,,,,,,dmedicine
Journal of Cognitive Neuroscience,,,,,,,,,,,,,dmedicine
Evolution and Human Behavior,Attention; Gathering; Hunter-gatherer theory; Object location memory; Sex differences; Spatial cognition; Visual search,,,,,,,,,,,,dmedicine
Frontiers in Behavioral Neuroscience,Acetylcholine; Categorization; Cognition; Cognitive; Learning; Macaque; Muscarinic; Scopolamine,,,,,,,,,,,,dengineering
Computers and Education,Interactive learning environments; Multimedia systems; Pedagogical issues; Post-secondary education; Virtual reality,,,,,,,,,,,,dengineering
"Journal of Neurology, Neurosurgery and Psychiatry",,,,,,,,,,,,,dengineering
Drug and Alcohol Dependence,Aboriginal; Cognitive recovery; Gasoline; Petrol; Solvents,,,,,,,,,,,,dsocial science
Cortex,Developmental mixed dyslexia; Length effect; Reaching movements; Surface dysgraphia; Visual attention span,,,,,,,,,,,,dsocial science
Journal of Child Psychology and Psychiatry and Allied Disciplines,Attention; cognition; development; emotion; infancy; serotonin,,,,,,,,,,,,d-lifescience
Schizophrenia Bulletin,child psychiatry; cognitive neuroscience; mood disorders-bipolar; schizophrenia,,,,,,,,,,,,dmedicine
Brain and Cognition,Action; Body; Dance; Movement; Perception,,,,,,,,,,,,dmedicine
Journal of Cognitive Neuroscience,,,,,,,,,,,,,dmedicine
Animal Cognition,Experimental esthetic; Global and local cues; Pigeon; Visual discrimination,,,,,,,,,,,,dmedicine
American Journal of Nephrology,Cognitive function; Hemodialysis; Transplantation,,,,,,,,,,,,dengineering
Biological Psychiatry,Autism; lateral connectivity; neural hypothesis; spatial perception; vision; visual cognition,,,,,,,,,,,,dengineering
Psychological Science,color perception; vision; visual perception,,,,,,,,,,,,dengineering
BJU International,autonomic; cognition; duality; hypothalamus; sexuality; somatic,,,,,,,,,,,,dsocial science
Clinical Neuropsychologist,"Alzheimer's disease; Frontotemporal dementia; Frontotemporal lobar dementia; FTD; Neuropsychological assessment, Philadelphia (repeatable) Verbal Learning Test; PBAC; Philadelphia Brief Assessment of the Cognition",,,,,,,,,,,,dsocial science
Cognition,Line bisection; Numerical cognition; Numerosity; Space,,,,,,,,,,,,d-lifescience
Wiley Interdisciplinary Reviews: Cognitive Science,,,,,,,,,,,,,dmedicine
Pediatric Neurology,,,,,,,,,,,,,dmedicine
Pharmacology Biochemistry and Behavior,Abuse liability; Carisoprodol; Healthy volunteer; Musculoskeletal relaxant; Psychomotor performance; Subjective effects,,,,,,,,,,,,dmedicine
European Journal of Radiology,ALFF; Neuromyelitis optica; Resting-state fMRI,,,,,,,,,,,,dmedicine
IEEE Transactions on Biomedical Engineering,Approximate entropy (ApEn); blood oxygen level dependent (BOLD); functional magnetic resonance imaging (fMRI); inspection time (IT); Ravens matrices; Scottish mental survey,,,,,,,,,,,,dengineering
Journal of the International Neuropsychological Society,Dementia; Learning and memory; Leukoaraiosis; MCI; Subjective cognitive impairment; White matter,,,,,,,,,,,,dengineering
Cerebrovascular Diseases,Childhood stroke; Modified Rankin Scale; Outcome; Pediatric stroke; PSOM,,,,,,,,,,,,dengineering
Brain,contrast sensitivity; crowding; flicker; magnocellular; Mooney,,,,,,,,,,,,dsocial science
Advances in Information Sciences and Service Sciences,Convex polygon; Gap amendment; Hierarchical shape decomposition,,,,,,,,,,,,dsocial science
Comprehensive Psychiatry,,,,,,,,,,,,,d-lifescience
Acta Psychologica,Body representation; Body semantics; Embodied cognition; Iconicity judgment; Symbolic distance effect; Visual field,,,,,,,,,,,,dmedicine
Neuropsychologia,Acquired alexia; Alexia with agraphia; Global alexia; Kinesthetic treatment; Letter-by-letter reading; Pure alexia,,,,,,,,,,,,dmedicine
Gastroenterological Endoscopy,,,,,,,,,,,,,dmedicine
International Psychogeriatrics,cognitive decline; reverse causality; social network,,,,,,,,,,,,dmedicine
Journal of Asian Architecture and Building Engineering,Assembly devices; Effectiveness; Visual impairment; Wayfinding,,,,,,,,,,,,dengineering
Schizophrenia Bulletin,cognition; data reduction; factor analysis; general cognitive ability; structure invariance,,,,,,,,,,,,dengineering
American Journal of Cardiology,,,,,,,,,,,,,dengineering
Brain Injury,Neurocognitive test; Sex differences; Soccer; Soccer heading; Symptoms; Youth,,,,,,,,,,,,dsocial science
Journal of Neuropsychiatry and Clinical Neurosciences,,,,,,,,,,,,,dsocial science
Journal of Autism and Developmental Disorders,Attention; Autism spectrum quotient; Flanker task; Perceptual load; Visual search,,,,,,,,,,,,d-lifescience
Frontiers in Behavioral Neuroscience,Intrinsic motivation; Memory; Reward; Schizophrenia; Ventral striatum,,,,,,,,,,,,dmedicine
Revue Neurologique,Arousal; Emotions; Facial recognition; Multiple sclerosis; Valence,,,,,,,,,,,,dmedicine
Clinical Neurology and Neurosurgery,MTHFR polymorphism; Plasma homocysteine; Small vessel disease; Vascular cognitive impairment; White matter changes,,,,,,,,,,,,dmedicine
Neuropsychology,Aspergers Syndrome; Autism; Development; Executive function; Inhibitory control,,,,,,,,,,,,dmedicine
International Journal of Neuropsychopharmacology,Arterial spin labelling; fMRI; perfusion; resting-state; THC,,,,,,,,,,,,dengineering
"Attention, Perception, and Psychophysics",Attention; Endogenous; Event-related potential; Exogenous; Joint attention,,,,,,,,,,,,dengineering
Journal of Intellectual Disability Research,Cognitive behaviour; Intellectual disability; Learning disability; Williams syndrome,,,,,,,,,,,,dengineering
Applied Cognitive Psychology,Aptitude-treatment interaction effects; Mental rotation; Multimedia learning; Split attention,,,,,,,,,,,,dsocial science
Animal Cognition,Arbitrary cues; Causal cognition; Causal cues; Chimpanzees; Problem-solving,,,,,,,,,,,,dsocial science
Journal of Business Research,Attributes; Cognition; Emotions; High-technology product; S-O-R framework,,,,,,,,,,,,d-lifescience
Cognition,Computational modeling; Cross-cultural; Qualitative representation; Spatial cognition; Structure-mapping,,,,,,,,,,,,dmedicine
International Journal of Audiology,Aging; Audiovisual speech recognition; Audition; Dual task paradigm; Listening effort,,,,,,,,,,,,dmedicine
Atencion Primaria,80 years and over; Cognition; Comorbidity; Disabled persons; Elderly; Frail elderly,,,,,,,,,,,,dmedicine
Journal of Psychosomatic Research,Health anxiety; Hypochondria; Medically unexplained symptoms; Somatic Signal Detection Task; Somatoform disorders; Tactile perception,,,,,,,,,,,,dmedicine
Journal of Experimental Child Psychology,Approximate number system; Estimation; Infancy; Intermodal processes; Number; Numerical cognition,,,,,,,,,,,,dengineering
Research in Developmental Disabilities,Fluency; Language; Oral narrative; Williams syndrome,,,,,,,,,,,,dengineering
Clinical Neurophysiology,EEG; Multichannel linear descriptors; Vascular dementia (VaD); Visual detection task,,,,,,,,,,,,dengineering
Research in Developmental Disabilities,Haptic strategies; Spatial coding; Vision; Visual impairments,,,,,,,,,,,,dsocial science
Neuropsychologia,Comprehension; Corticobasal; Frontal; Frontotemporal dementia; Parietal; Quantifier,,,,,,,,,,,,dsocial science
"Genes, Brain and Behavior",Developmental dyslexia; Hebb-Williams maze; NOR task; Reading disorder; Visual discrimination; Working memory,,,,,,,,,,,,d-lifescience
Journal of Child Neurology,complications; HIV-1 infection; neuropathy,,,,,,,,,,,,dmedicine
Current Alzheimer Research,Acetylcholinesterase inhibitor; Alzheimer's disease; Cognition; FMRI; Memory; Prefrontal cortex; Recognition; Rivastigmine,,,,,,,,,,,,dmedicine
Journal of Experimental Psychology: General,Cognitive control; Ego depletion; Interference; Resource depletion; Working memory,,,,,,,,,,,,dmedicine
Memory,Cognition; Memory; Self; Source; Specificity,,,,,,,,,,,,dmedicine
Maturitas,Cognition; Menopause; Testosterone; Women,,,,,,,,,,,,dengineering
Journal of Cognitive Neuroscience,,,,,,,,,,,,,dengineering
Brain and Language,Chinese compounds; ERP; Hemispheric processing; N400; Polysemy; Representation of senses,,,,,,,,,,,,dengineering
Neuroscience Research,Alpha; Event-related synchronization (ERS); Magnetoencephalography (MEG); Middle temporal gyrus (MTG); Schizophrenia; Synchronous oscillation,,,,,,,,,,,,dsocial science
Neuropsychologia,Dextral; FMRI; Handedness; Parietal cortex; Peripersonal space; Reachable space; Reaching; Sinistral,,,,,,,,,,,,dsocial science
Zhurnal vysshe? nervno? deiatelnosti imeni I P Pavlova,,,,,,,,,,,,,d-lifescience
Brain and Language,Chinese character recognition; FMRI; Independent component analysis; Reading; Visual word recognition,,,,,,,,,,,,dmedicine
PLoS Biology,,,,,,,,,,,,,dmedicine
Medecine/Sciences,,,,,,,,,,,,,dmedicine
Journal of Psychiatry and Neuroscience,,,,,,,,,,,,,dmedicine
PLoS Biology,,,,,,,,,,,,,dengineering
Arthritis Care and Research,,,,,,,,,,,,,dengineering
Journal of Cognitive Neuroscience,,,,,,,,,,,,,dengineering
Behavior Genetics,Cognition; Dogs; Problem-solving; Reinforcement; Socialization; Training; Wolves,,,,,,,,,,,,dsocial science
Journal of Neuroscience Research,Attractiveness; Cognitive preferences; ERP; Female faces,,,,,,,,,,,,dsocial science
International Journal of Psychophysiology,Electroencephalography; Face perception; Gaze direction; Motivation; Social cognition,,,,,,,,,,,,d-lifescience
Hormones and Behavior,Adolescence; Craniofacial development; Face perception; Sex perception; Testosterone,,,,,,,,,,,,dmedicine
Pediatric Neurology,,,,,,,,,,,,,dmedicine
Language and Cognitive Processes,Conceptual; Objects,,,,,,,,,,,,dmedicine
Journal of Cognitive Neuroscience,,,,,,,,,,,,,dmedicine
Journal of the American Dental Association,Amalgam; Mercury; Neurodevelopment; Pregnancy,,,,,,,,,,,,dengineering
"Genes, Brain and Behavior",Attention deficit hyperactivity disorder; CDH13 gene; Executive functioning; Haplotype analysis; Working memory,,,,,,,,,,,,dengineering
British Journal of Psychology,,,,,,,,,,,,,dengineering
Marine and Freshwater Behaviour and Physiology,Anabas testudineus; climbing perch; landmark; memory; ponds; spatial learning; streams,,,,,,,,,,,,dsocial science
Frontiers in Behavioral Neuroscience,Acoustic startle; Auditory; Discrimination; Extinction; Fear conditioning; Human,,,,,,,,,,,,dsocial science
Applied Cognitive Psychology,,,,,,,,,,,,,d-lifescience
Developmental Science,,,,,,,,,,,,,dmedicine
American Journal of Sports Medicine,baseline testing; computerized testing; concussion testing; group administration; neurocognitive testing,,,,,,,,,,,,dmedicine
Animal Cognition,Communication; Dog; Human-dog interaction; Intentional behaviours; Referential behaviours; Social cognition,,,,,,,,,,,,dmedicine
Psychological Research,,,,,,,,,,,,,dmedicine
